id,speed_condition,cue_condition,difficulty,position,cue_position,response,difference,response_time,cue_deflections,difficulty_id,cue_deflections_id,absolute_cue_id,deflection
1,1,1,15,1.3967569673421627,2.2694215933393274,1.2150827122183507,-0.18167425512381197,0.6408923257609248,50,1,6,3,2
1,1,1,45,0.7501044830438612,1.622769109041026,0.6459964248867713,-0.1041080581570899,0.7074457985192418,50,3,6,3,2
1,1,1,45,2.9592814795274855,2.9592814795274855,2.7967248308088575,-0.16255664871862807,0.7558515898832211,0,3,4,1,1
1,1,1,45,0.04328332439591431,0.04328332439591431,0.09406123462798632,0.05077791023207201,0.4902696492968268,0,3,4,1,1
1,1,1,45,2.8130414014709992,2.8130414014709992,2.7592469161973834,-0.053794485273615855,0.45027495709408366,0,3,4,1,1
1,1,1,45,2.8146741679691525,2.8146741679691525,2.6548513248247407,-0.15982284314441175,0.5299432344279565,0,3,4,1,1
1,1,1,30,2.644669513088145,0.7248073358943823,2.8274320862693685,0.1827625731812237,0.6980805421577662,-70,2,1,4,2
1,1,1,30,2.585572505089161,0.6657103278953986,0.46790894684310436,1.0239290953437363,0.5469846359796808,-70,2,1,4,2
1,1,1,15,0.5058312237284976,0.5058312237284976,0.5036834291869376,-0.0021477945415599997,0.5615216956212872,0,1,4,1,1
1,1,1,15,1.8861465309780687,2.7588111569752334,2.1297426233875454,0.24359609240947666,0.6850467474712818,50,1,6,3,2
1,1,1,45,2.7320930501872005,3.0811589005860665,2.7633719867825914,0.03127893659539094,0.5768245003229399,20,3,5,2,2
1,1,1,30,0.18706492820734555,0.18706492820734555,0.15420635321720555,-0.03285857499014,0.5330611987557468,0,2,4,1,1
1,1,1,30,3.031553384281164,3.031553384281164,3.049826572149987,0.018273187868822927,0.544165418527878,0,2,4,1,1
1,1,1,45,1.9645673253343112,0.044705148140549156,1.574043068633273,-0.3905242567010383,0.7652982226943522,-70,3,1,4,2
1,1,1,30,2.745921344541654,2.745921344541654,2.6985731861549116,-0.047348158386742334,0.4735225958940816,0,2,4,1,1
1,1,1,15,2.160431192370241,2.160431192370241,2.201783190210235,0.04135199783999388,0.5528814960950301,0,1,4,1,1
1,1,1,15,0.15583893999470977,0.15583893999470977,0.27907185962382597,0.1232329196291162,0.5496810556358324,0,1,4,1,1
1,1,1,45,1.0452200297131338,1.0452200297131338,0.8446893179678141,-0.20053071174531967,0.5429114147698989,0,3,4,1,1
1,1,1,15,0.6287585255336969,0.6287585255336969,0.5671562029800512,-0.06160232255364573,0.8490752776146583,0,1,4,1,1
1,1,1,15,2.5536375527833792,0.28470952519075077,2.3367584930055223,-0.21687905977785693,0.6164361367153679,-50,1,2,3,2
1,1,1,30,2.3968697477468823,2.3968697477468823,2.503110323235356,0.10624057548847388,0.5423586414091762,0,2,4,1,1
1,1,1,15,0.4662301354308549,1.33889476142802,1.1778752376408637,0.7116451022100088,0.5432922712167099,50,1,6,3,2
1,1,1,30,1.2282011642612343,1.2282011642612343,1.1397151036189017,-0.08848606064233255,0.5428223405479787,0,2,4,1,1
1,1,1,30,2.321054543679088,2.321054543679088,2.0417430762394,-0.27931146743968815,0.5363199223478059,0,2,4,1,1
1,0,1,15,3.0560669874008175,1.1362048102070554,1.2446013572172951,1.3301270234062708,0.471882603841115,-70,1,1,4,2
1,0,1,30,0.1731460079856113,0.5222118583844773,0.23800527546599293,0.06485926748038162,0.7781483705282358,20,2,5,2,2
1,0,1,30,1.6974111435631989,2.5700757695603635,1.4860325976822786,-0.2113785458809203,0.9249379229650939,50,2,6,3,2
1,0,1,45,1.951625162572129,1.951625162572129,2.0959835900079344,0.1443584274358054,0.6510112306831736,0,3,4,1,1
1,0,1,45,2.153573776051157,3.026238402048321,2.326041219174022,0.17246744312286522,0.8004957365338471,50,3,6,3,2
1,0,1,15,1.0626569185451853,2.284387394941216,1.2101310017243483,0.147474083179163,1.6398934481694332,70,1,7,4,2
1,0,1,15,1.5979171461719055,1.5979171461719055,1.8444031874846312,0.24648604131272567,0.8137560656612643,0,1,4,1,1
1,0,1,45,1.7635098070422344,1.7635098070422344,1.9334292244014009,0.1699194173591665,0.9215344079423415,0,3,4,1,1
1,0,1,30,0.2770421680747486,0.2770421680747486,0.21784158809250798,-0.0592005799822406,0.6615146576580737,0,2,4,1,1
1,0,1,15,3.0665581209695465,3.0665581209695465,2.931298201762903,-0.1352599192066437,0.6900528653674294,0,1,4,1,1
1,0,1,30,3.0349561784423162,1.1150940012485542,0.7279900487606485,0.8346265239081254,0.8460823104460236,-70,2,1,4,2
1,0,1,45,0.9260990959570403,1.2751649463559058,1.3174591957114554,0.3913600997544151,0.45416343176951257,20,3,5,2,2
1,0,1,15,1.3060241755405233,2.5277546519365544,2.8904316890120247,-1.5571851401182917,0.4027397471171843,70,1,7,4,2
1,0,1,45,1.3667328363316678,2.588463312727699,2.7367008673047097,1.369968030973042,0.8348347654855351,70,3,7,4,2
1,0,1,45,1.8298850573077667,2.702549683304931,1.945129942802481,0.11524488549471434,1.1001293225740472,50,3,6,3,2
1,0,1,15,1.3302900329690104,1.3302900329690104,1.3597029935721503,0.029412960603139915,1.237788217423211,0,1,4,1,1
1,0,1,30,1.2613308825480782,1.2613308825480782,1.0544159107515032,-0.20691497179657503,0.6282426865665076,0,2,4,1,1
1,0,1,30,1.9854345651110998,1.9854345651110998,1.987774551100098,0.0023399859889980945,0.5989314025854251,0,2,4,1,1
1,0,1,30,1.8200986740414438,1.8200986740414438,1.8400678562011121,0.019969182159668364,1.117929504534721,0,2,4,1,1
1,0,1,15,1.332534832870346,1.6816006832692119,1.3059789968891076,-0.02655583598123834,0.8795896134325393,20,1,5,2,2
1,0,1,45,1.370893334422119,1.370893334422119,1.2528480354436056,-0.11804529897851346,0.8795632210704889,0,3,4,1,1
1,0,1,30,2.5468624587608355,0.627000281567073,2.764062458166255,0.21719999940541967,0.7824495924212866,-70,2,1,4,2
1,0,1,45,1.2230334012343196,1.572099251633186,1.0672291078846499,-0.15580429334966972,0.6507341108816442,20,3,5,2,2
1,0,1,15,0.9406547878256148,2.162385264221646,1.233662370617659,0.2930075827920442,0.7552628935852631,70,1,7,4,2
1,0,1,30,1.418724720022813,1.418724720022813,1.5158355522734759,0.09711083225066286,0.8730201146454882,0,2,4,1,1
1,0,1,45,0.6269831571555264,1.4996477831526906,1.0089701752810418,0.3819870181255154,0.7696060426779157,50,3,6,3,2
1,0,1,30,1.3181821166096181,2.190846742606783,2.0807205693491166,0.7625384527394985,0.7588709494139063,50,2,6,3,2
1,0,1,15,1.5348452156503463,2.7565756920463764,1.4051456413903118,-0.12969957426003442,0.7449519109169807,70,1,7,4,2
1,0,1,45,2.667093610925764,2.667093610925764,2.2077225153902735,-0.4593710955354906,0.8285016982751858,0,3,4,1,1
1,0,1,45,1.1007632161384953,1.1007632161384953,1.0991807589325688,-0.0015824572059264241,0.6521673627652157,0,3,4,1,1
1,0,1,45,0.3367389363192048,1.2094035623163695,0.36066532507054827,0.023926388751343453,0.7501981259956702,50,3,6,3,2
1,0,1,30,0.47287506926172584,1.345539695258891,0.5986593937144007,0.12578432445267484,0.6848176471062608,50,2,6,3,2
1,0,1,30,1.3987486893872214,1.3987486893872214,1.519559159391478,0.12081047000425649,0.7027160673034557,0,2,4,1,1
1,0,1,15,2.589437718707673,2.938503569106539,2.957268244690094,0.36783052598242083,0.6728959972317344,20,1,5,2,2
1,0,1,45,2.3503921464075894,2.3503921464075894,2.466031030385121,0.11563888397753175,0.5964695817030551,0,3,4,1,1
1,0,1,30,2.2501199339679037,0.3302577567741416,2.1470347671927055,-0.10308516677519819,0.8044985781114945,-70,2,1,4,2
1,0,1,15,3.0489672769890177,3.0489672769890177,3.0395387939344216,-0.009428483054596093,0.7327626718161098,0,1,4,1,1
1,0,1,15,2.021909976585439,2.8945746025826042,1.945129942802481,-0.07678003378295806,0.727089047096437,50,1,6,3,2
1,0,1,45,0.7147169092472381,0.7147169092472381,0.7699553756676387,0.055238466420400645,0.8093335122148984,0,3,4,1,1
1,0,1,15,0.7510228076311742,1.623687433628339,0.589817483587622,-0.16120532404355226,1.3214274455639206,50,1,6,3,2
1,0,1,30,1.3856011984574144,1.7346670488562803,1.6663131644705391,0.28071196601312476,0.6273468124991294,20,2,5,2,2
1,0,1,15,1.0134796512096234,1.0134796512096234,0.8768093652577296,-0.1366702859518938,0.6535833863013377,0,1,4,1,1
1,0,1,45,0.361994298638348,0.361994298638348,0.3248401429182044,-0.03715415572014358,0.7458998365872916,0,3,4,1,1
1,0,1,45,0.8955142267106195,1.244580077109486,0.8989427682701034,0.003428541559483911,0.737460512261085,20,3,5,2,2
1,0,1,30,1.5213641619549492,1.5213641619549492,1.6136743205017563,0.09231015854680713,0.7079058320522041,0,2,4,1,1
1,0,1,15,2.1144391516888543,2.46350500208772,2.304597135507107,0.19015798381825277,0.7102496204265152,20,1,5,2,2
1,0,1,30,3.041552298009883,0.7726242704172543,0.2659709133697463,0.36601126894965663,0.7030148141794431,-50,2,2,3,2
1,0,1,15,0.889442669333862,1.7621072953310262,0.8500261965698681,-0.03941647276399385,0.6559627310523002,50,1,6,3,2
1,1,1,30,0.810842373914034,0.810842373914034,0.639650036689011,-0.17119233722502303,0.547008095857059,0,2,4,1,1
1,1,1,15,1.2434067062331664,1.2434067062331664,1.2532037525939312,0.009797046360764838,0.4467995961968606,0,1,4,1,1
1,1,1,45,2.136741345233919,3.009405971231084,2.214297435588181,0.07755609035426181,0.5720995343947461,50,3,6,3,2
1,1,1,45,2.142286786346469,2.4913526367453347,2.2880648036382336,0.14577801729176443,0.49563609624707944,20,3,5,2,2
1,1,1,45,0.9742536200603524,0.9742536200603524,1.0667244475433328,0.09247082748298041,0.41961986201193374,0,3,4,1,1
1,1,1,15,1.3407570777073738,1.3407570777073738,1.673464370411481,0.33270729270410726,0.5055797852101602,0,1,4,1,1
1,1,1,30,0.29579759020747964,0.6448634406063456,0.3266766229250653,0.03087903271758563,0.4697554527719678,20,2,5,2,2
1,1,1,45,2.2298796635733797,2.2298796635733797,2.214297435588181,-0.015582227985198926,0.48939980103091496,0,3,4,1,1
1,1,1,15,2.814261824693293,2.814261824693293,2.8324750519914907,0.018213227298197854,0.4209497438108078,0,1,4,1,1
1,1,1,30,2.0347029264025838,2.0347029264025838,2.07876972160268,0.044066795200096376,0.42657828157864447,0,2,4,1,1
1,1,1,15,0.5026573947076702,0.8517232451065357,0.6480201225762423,0.14536272786857207,0.4739866615934682,20,1,5,2,2
1,1,1,30,1.6352147993016983,1.6352147993016983,1.7104050558738395,0.07519025657214118,0.4105654490257186,0,2,4,1,1
1,1,1,30,1.60986017316244,1.958926023561306,1.9166967745890542,0.3068366014266142,0.4657848685257153,20,2,5,2,2
1,1,1,15,2.338984455114728,2.338984455114728,2.400893132059598,0.06190867694486979,0.42153404138175743,0,1,4,1,1
1,1,1,30,2.7569962903233396,0.8371341131295775,0.5803561935250037,0.9649525567914572,0.4409001701574231,-70,2,1,4,2
1,1,1,45,2.9788824334689856,0.1863556302780589,3.0769578923458405,0.09807545887685487,0.46595825168196325,-20,3,3,2,2
1,1,1,15,0.9034661117116265,0.9034661117116265,0.6996361962135866,-0.20382991549803986,0.6107969686905943,0,1,4,1,1
1,1,1,15,2.074345968174113,2.947010594171277,2.7379900801701718,0.6636441119960588,0.5611008840708166,50,1,6,3,2
1,1,1,45,0.9379424043585871,2.159672880754618,1.0252428157281566,0.08730041136956945,0.6826703352049917,70,3,7,4,2
1,1,1,30,1.8008823905215632,1.8008823905215632,1.7654818661788463,-0.0354005243427169,0.8767747947077449,0,2,4,1,1
1,1,1,45,2.962216221023844,1.0423540438300813,0.08130187160839641,0.2606783041743457,0.6038202210946819,-70,3,1,4,2
1,1,1,30,1.9841570352826716,2.3332228856815376,2.495430207100986,0.5112731718183143,0.6609054339674099,20,2,5,2,2
1,1,1,45,1.1710308617266119,2.0436954877237774,1.3903482967514211,0.21931743502480927,0.5849903704534575,50,3,6,3,2
1,1,1,15,1.5922453057310835,1.5922453057310835,1.586179728575492,-0.006065577155591528,0.5162591612653965,0,1,4,1,1
1,0,1,15,0.2936498824779381,1.5153803588739692,0.14577300418685102,-0.1478768782910871,0.6760590485113608,70,1,7,4,2
1,0,1,15,0.05642286470729285,0.05642286470729285,3.082060433514545,-0.11595508478254102,0.6503037687559887,0,1,4,1,1
1,0,1,30,1.2030413176518788,1.2030413176518788,1.1139053717298752,-0.08913594592200358,0.5929916548817439,0,2,4,1,1
1,0,1,45,0.9923263079779634,1.864990933975128,1.5804114150945994,0.588085107116636,0.6546236852388252,50,3,6,3,2
1,0,1,15,2.976054006332464,1.0561918291387018,3.018409991448517,0.04235598511605332,0.719550728685785,-70,1,1,4,2
1,0,1,45,1.7789929041057793,3.0007233805018103,1.7675734575337598,-0.011419446572019432,0.7899171646392201,70,3,7,4,2
1,0,1,30,2.4418857757526924,2.4418857757526924,2.094252759175234,-0.3476330165774586,0.5384690670519952,0,2,4,1,1
1,0,1,45,1.3561290985539172,2.5778595749499473,0.8169666198852266,-0.5391624786686906,0.7041082644016156,70,3,7,4,2
1,0,1,15,2.4289404120774707,2.4289404120774707,2.490624710563246,0.06168429848577528,0.6005845908194168,0,1,4,1,1
