Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,1,0,30,2,819,-999,1.6817,2.3881,0.70644,0.70644,0.60214,133
100,1,0,45,3,819,-999,2.7796,2.5207,-0.25887,0.25887,0.67163,159
100,1,0,15,1,819,-999,2.2722,2.3036,0.031373,0.031373,0.51689,186
100,1,0,45,3,819,-999,1.7765,1.4127,-0.3638,0.3638,0.84933,152
100,1,0,30,2,819,-999,0.83826,0.89889,0.06063,0.06063,1.1763,80
100,1,0,30,2,819,-999,0.71061,0.93692,0.22631,0.22631,0.55891,162
100,1,0,30,2,819,-999,2.8081,2.7943,-0.013788,0.013788,0.70509,191
100,1,0,15,1,819,-999,2.9718,3.0711,0.099318,0.099318,0.69624,175
100,1,0,15,1,819,-999,2.8427,2.9683,0.12554,0.12554,0.57531,172
100,1,0,15,1,819,-999,0.42565,0.46122,0.035566,0.035566,0.66634,185
100,1,0,45,3,819,-999,0.99475,1.3639,0.36914,0.36914,0.63089,152
100,1,0,30,2,819,-999,2.4114,2.1474,-0.26404,0.26404,0.61821,159
100,1,0,15,1,819,-999,2.1314,2.15,0.018514,0.018514,0.64379,189
100,1,0,30,2,819,-999,0.91527,1.273,0.35776,0.35776,0.76403,152
100,1,0,30,2,819,-999,3.1324,0.063867,0.073075,0.073075,0.64741,1
100,1,0,45,3,819,-999,2.4629,2.3052,-0.1577,0.1577,0.68394,168
100,1,0,15,1,819,-999,1.0463,1.113,0.066748,0.066748,0.68297,179
100,1,0,45,3,819,-999,0.63055,1.4851,0.85457,0.85457,0.60664,126
100,0,0,45,3,819,-999,2.6397,2.8164,0.17666,0.17666,0.73904,133
100,0,0,45,3,819,-999,0.10135,2.8078,-0.43518,0.43518,0.79204,95
100,0,0,15,1,819,-999,2.3456,2.3676,0.022048,0.022048,0.76228,176
100,0,0,30,2,819,-999,3.0268,2.2961,-0.73076,0.73076,1.7495,64
100,0,0,30,2,819,-999,2.4606,2.506,0.045427,0.045427,0.92531,166
100,0,0,30,2,819,-999,1.3511,1.4807,0.12967,0.12967,0.68294,143
100,0,0,45,3,819,-999,2.2278,2.0063,-0.22149,0.22149,0.69859,125
100,0,0,45,3,819,-999,1.9297,1.8772,-0.052538,0.052538,2.2989,163
100,0,0,30,2,819,-999,3.0473,2.9974,-0.049908,0.049908,1.0594,164
100,0,0,30,2,819,-999,0.7585,0.71647,-0.042035,0.042035,1.0111,167
100,0,0,45,3,819,-999,0.57191,2.6348,-1.0787,1.0787,0.68237,34
100,0,0,15,1,819,-999,3.0373,2.9835,-0.0538,0.0538,0.84342,163
100,0,0,15,1,819,-999,2.8575,2.847,-0.0105,0.0105,1.2653,184
100,0,0,30,2,819,-999,2.2319,1.9569,-0.275,0.275,1.0834,116
100,0,0,15,1,819,-999,1.6043,1.6463,0.041992,0.041992,0.9002,167
100,0,0,30,2,819,-999,0.40691,0.49052,0.083603,0.083603,0.97414,154
100,0,0,45,3,819,-999,1.32,1.241,-0.078977,0.078977,1.166,155
100,0,0,30,2,819,-999,0.30611,0.20858,-0.097529,0.097529,0.82511,150
100,0,0,30,2,819,-999,1.7341,1.8312,0.097143,0.097143,0.81511,150
100,0,0,15,1,819,-999,0.54702,0.47855,-0.068468,0.068468,0.71711,158
100,0,0,45,3,819,-999,2.7559,2.7758,0.019856,0.019856,0.93055,178
100,0,0,45,3,819,-999,0.34817,0.14014,-0.20803,0.20803,0.94921,127
100,0,0,45,3,819,-999,2.6105,1.7359,-0.87454,0.87454,1.6071,51
100,0,0,45,3,819,-999,0.84815,0.83896,-0.0091924,0.0091924,1.1798,185
100,0,0,15,1,819,-999,1.0563,1.0122,-0.0441,0.0441,0.85932,166
100,0,0,15,1,819,-999,2.0551,2.1845,0.12938,0.12938,0.84354,143
